Age_Band,Income_Band,Marital_Status,Country,avg_wines,avg_fruits,avg_meat,avg_fish,avg_sweets,avg_gold,avg_total_spend,response_rate_pct
18-29,High,Married,Germany,270.33,26.6,329.87,23.6,48.73,73.27,772.4,20.0
18-29,High,Married,India,218.64,12.41,403.41,68.18,20.59,44.36,767.59,22.73
18-29,High,Married,Mexico,227.0,2.33,250.83,21.33,42.83,27.5,571.83,33.33
18-29,High,Married,Saudi Arabia,373.37,14.18,344.86,54.73,15.53,57.65,860.33,16.33
18-29,High,Married,Spain,215.65,16.5,254.72,58.08,27.57,33.36,605.89,21.78
18-29,High,Married,USA,270.19,12.56,495.94,72.56,23.13,38.38,912.75,12.5
18-29,High,Single,Australia,579.27,16.82,353.4,53.02,26.93,59.91,1089.36,22.22
18-29,High,Single,Canada,224.32,7.0,408.36,44.86,21.89,28.5,734.93,25.0
18-29,High,Single,Germany,322.1,18.37,357.37,46.29,30.76,58.15,833.02,19.51
18-29,High,Single,India,283.42,18.29,409.42,74.96,43.5,61.17,890.75,20.83
18-29,High,Single,Mexico,219.0,19.36,279.55,70.64,60.64,62.27,711.45,18.18
18-29,High,Single,Saudi Arabia,332.26,15.71,320.37,48.89,14.0,39.89,771.11,22.86
18-29,High,Single,Spain,281.31,17.91,383.99,53.09,18.47,47.74,802.51,14.86
18-29,High,Single,USA,267.38,17.5,313.13,65.0,21.63,34.75,719.38,25.0
18-29,High,Together,Australia,377.93,13.53,277.65,61.35,26.38,51.73,808.55,17.5
18-29,High,Together,Canada,303.47,17.49,320.18,60.86,20.05,40.05,762.1,14.29
18-29,High,Together,Germany,267.34,18.74,366.94,59.31,43.89,57.71,813.94,25.71
18-29,High,Together,India,329.89,16.92,336.64,70.61,36.14,56.78,846.97,25.0
18-29,High,Together,Mexico,181.55,0.91,406.27,62.27,24.91,31.18,707.09,18.18
18-29,High,Together,Saudi Arabia,344.78,13.8,303.6,78.24,18.51,38.13,797.06,9.64
18-29,High,Together,Spain,253.26,14.55,348.45,68.43,31.8,39.66,756.15,14.86
18-29,High,Together,USA,201.31,27.69,272.34,66.16,26.0,42.47,635.97,12.5
18-29,High,Widow,Australia,526.5,37.0,661.5,10.0,26.5,166.5,1428.0,50.0
18-29,High,Widow,Canada,348.57,20.14,285.5,54.57,10.21,25.29,744.29,0.0
18-29,High,Widow,Germany,158.43,5.29,367.43,106.0,23.86,66.71,727.71,28.57
18-29,High,Widow,India,205.2,11.3,353.7,108.9,38.9,76.3,794.3,30.0
18-29,High,Widow,Saudi Arabia,232.24,20.89,252.26,76.7,21.33,40.83,644.24,15.22
18-29,High,Widow,Spain,249.34,18.63,390.39,75.41,18.37,49.39,801.54,7.32
18-29,High,Widow,USA,317.5,6.25,333.0,85.75,22.5,37.0,802.0,25.0
18-29,High,YOLO,Canada,477.2,39.4,214.4,20.2,2.4,48.2,801.8,40.0
18-29,High,YOLO,Germany,223.6,3.0,565.6,24.8,29.2,26.0,872.2,20.0
18-29,High,YOLO,India,136.4,26.6,635.2,61.6,41.0,38.0,938.8,40.0
18-29,High,YOLO,Saudi Arabia,150.9,7.2,378.6,28.0,27.1,41.6,633.4,10.0
18-29,High,YOLO,Spain,355.25,14.5,482.13,80.5,56.75,37.25,1026.38,50.0
18-29,High,YOLO,USA,35.0,57.33,875.0,44.33,24.33,22.67,1058.67,66.67
18-29,Low,Absurd,Canada,142.0,9.25,190.75,12.25,16.38,21.25,391.88,12.5
18-29,Low,Absurd,Germany,0.0,4.0,15.0,4.0,5.0,50.0,78.0,0.0
18-29,Low,Absurd,India,72.33,5.33,272.0,2.0,4.0,10.67,366.33,0.0
18-29,Low,Absurd,Saudi Arabia,233.8,0.0,38.2,66.0,1.4,9.0,348.4,20.0
18-29,Low,Absurd,Spain,97.35,6.6,122.3,12.55,1.9,17.95,258.65,15.0
18-29,Low,Absurd,USA,43.0,44.75,75.75,10.0,0.5,61.5,235.5,0.0
18-29,Low,Alone,Australia,119.0,0.0,212.0,6.67,2.67,18.0,358.33,0.0
18-29,Low,Alone,Canada,11.75,9.25,86.0,41.75,0.25,16.25,165.25,0.0
18-29,Low,Alone,Saudi Arabia,25.29,7.14,69.71,25.14,0.0,14.71,142.0,0.0
18-29,Low,Alone,Spain,2.5,0.67,37.83,7.75,0.42,6.08,55.25,8.33
18-29,Low,Alone,USA,159.0,0.0,21.0,7.0,124.0,0.0,311.0,0.0
18-29,Low,Divorced,Australia,251.8,0.2,92.5,6.8,0.3,1.8,353.4,0.0
18-29,Low,Divorced,Canada,44.52,12.48,92.87,28.77,4.55,15.97,199.16,12.9
18-29,Low,Divorced,Germany,26.75,1.0,62.38,3.25,1.75,28.38,123.5,0.0
18-29,Low,Divorced,India,50.72,1.97,60.59,7.72,3.59,9.13,133.72,2.56
18-29,Low,Divorced,Mexico,0.0,0.0,782.0,5.0,0.0,15.0,802.0,0.0
18-29,Low,Divorced,Saudi Arabia,31.62,0.48,59.62,2.19,0.52,2.33,96.76,0.0
18-29,Low,Divorced,Spain,58.27,1.68,101.29,7.34,2.59,8.49,179.66,6.78
18-29,Low,Divorced,USA,79.29,11.14,61.57,15.43,1.05,12.0,180.48,0.0
18-29,Low,Married,Australia,91.36,2.31,68.83,7.42,1.03,10.03,180.97,2.78
18-29,Low,Married,Canada,35.82,1.29,70.84,6.31,0.82,4.71,119.79,3.39
18-29,Low,Married,Germany,94.22,8.72,104.72,5.17,3.89,24.72,241.44,5.56
18-29,Low,Married,India,12.6,0.3,56.34,5.04,1.36,5.96,81.6,6.38
18-29,Low,Married,Mexico,1.71,0.21,123.64,3.5,2.0,3.07,134.14,14.29
18-29,Low,Married,Saudi Arabia,22.08,1.92,78.01,9.05,3.3,6.2,120.56,2.04
18-29,Low,Married,Spain,24.01,0.88,60.11,5.15,1.73,8.27,100.16,1.37
18-29,Low,Married,USA,24.78,1.27,26.22,2.55,0.88,7.12,62.82,5.88
18-29,Low,Single,Australia,86.97,0.31,148.74,16.69,12.91,19.83,285.46,0.0
18-29,Low,Single,Canada,58.94,2.61,60.85,14.27,2.58,10.1,149.36,5.97
18-29,Low,Single,Germany,56.94,3.83,113.31,10.25,5.13,16.56,206.02,3.85
18-29,Low,Single,India,51.45,5.75,145.2,23.15,8.0,8.85,242.4,5.0
18-29,Low,Single,Mexico,112.43,0.29,53.86,6.43,4.0,13.43,190.43,14.29
18-29,Low,Single,Saudi Arabia,9.24,2.12,97.12,7.5,1.38,7.62,124.98,2.38
18-29,Low,Single,Spain,55.34,1.3,104.59,12.45,1.89,9.55,185.12,7.75
18-29,Low,Single,USA,12.78,1.11,111.44,6.0,6.56,23.0,160.89,11.11
18-29,Low,Together,Australia,116.06,0.87,104.06,18.98,4.57,10.89,255.45,6.38
18-29,Low,Together,Canada,36.64,0.61,69.66,7.41,2.02,8.08,124.43,3.35
18-29,Low,Together,Germany,22.44,0.34,82.66,11.56,2.56,13.59,133.16,6.25
18-29,Low,Together,India,48.38,3.63,128.35,8.58,6.04,10.58,205.56,7.69
18-29,Low,Together,Mexico,21.44,0.17,82.33,2.78,1.56,3.61,111.89,0.0
18-29,Low,Together,Saudi Arabia,15.89,1.19,68.81,7.95,1.04,5.44,100.33,0.93
18-29,Low,Together,Spain,34.43,1.58,49.32,7.47,1.31,6.28,100.39,2.12
18-29,Low,Together,USA,69.25,1.32,62.98,11.95,4.23,11.74,161.46,3.51
18-29,Low,Widow,Australia,0.0,0.0,195.0,0.0,2.0,11.0,208.0,0.0
18-29,Low,Widow,Canada,41.07,0.0,136.8,17.0,0.93,1.67,197.47,0.0
18-29,Low,Widow,Germany,6.5,0.0,15.5,0.0,0.0,1.5,23.5,0.0
18-29,Low,Widow,India,129.5,8.0,129.88,7.63,0.38,11.25,286.63,0.0
18-29,Low,Widow,Saudi Arabia,35.74,2.24,108.33,7.36,0.71,8.29,162.67,4.76
18-29,Low,Widow,Spain,61.22,0.11,104.83,8.89,4.17,9.36,188.58,2.78
18-29,Low,Widow,USA,0.0,0.0,27.0,0.0,5.0,14.0,46.0,0.0
18-29,Low,YOLO,Canada,0.0,0.0,31.5,5.5,0.0,8.0,45.0,50.0
18-29,Low,YOLO,Germany,6.0,4.5,42.5,35.0,0.0,2.5,90.5,0.0
18-29,Low,YOLO,Mexico,108.0,1.5,503.0,50.0,1.0,12.0,675.5,0.0
18-29,Low,YOLO,Saudi Arabia,0.0,0.0,37.0,4.33,0.33,4.67,46.33,0.0
18-29,Low,YOLO,Spain,53.67,8.33,61.0,35.17,0.0,4.5,162.67,16.67
18-29,Low,YOLO,USA,289.0,0.0,62.0,9.0,3.0,240.0,603.0,100.0
18-29,Medium,Absurd,Canada,332.5,8.0,413.67,35.67,21.83,31.83,843.5,16.67
18-29,Medium,Absurd,Germany,411.5,0.75,186.5,35.25,13.75,12.75,660.5,25.0
18-29,Medium,Absurd,Mexico,108.0,0.0,43.0,0.0,5.0,9.0,165.0,0.0
18-29,Medium,Absurd,Saudi Arabia,250.33,4.0,163.0,9.0,12.67,33.0,472.0,0.0
18-29,Medium,Absurd,Spain,74.0,3.59,109.88,21.53,19.65,16.65,245.29,11.76
18-29,Medium,Absurd,USA,463.75,0.0,446.25,40.25,29.5,32.75,1012.5,0.0
18-29,Medium,Alone,Australia,23.67,26.0,159.0,52.0,17.33,18.67,296.67,33.33
18-29,Medium,Alone,Canada,0.0,1.25,29.25,7.0,0.5,10.0,48.0,25.0
18-29,Medium,Alone,Germany,99.0,1.5,398.0,63.5,1.5,6.0,569.5,0.0
18-29,Medium,Alone,Saudi Arabia,117.83,3.67,77.0,55.5,11.67,13.83,279.5,33.33
18-29,Medium,Alone,Spain,90.82,4.91,138.59,28.55,5.86,23.41,292.14,9.09
18-29,Medium,Alone,USA,1023.0,64.0,54.0,7.0,3.0,229.0,1380.0,100.0
18-29,Medium,Divorced,Australia,134.47,6.18,344.47,33.29,6.71,45.76,570.88,17.65
18-29,Medium,Divorced,Canada,162.14,8.0,280.23,45.09,18.64,30.05,544.14,13.64
18-29,Medium,Divorced,Germany,152.3,19.0,132.0,42.7,12.7,14.2,372.9,10.0
18-29,Medium,Divorced,India,91.68,7.66,354.02,26.36,4.55,31.36,515.64,13.64
18-29,Medium,Divorced,Mexico,182.33,0.0,34.33,0.0,1.0,2.0,219.67,33.33
18-29,Medium,Divorced,Saudi Arabia,171.58,4.87,149.71,31.58,12.23,26.19,396.16,3.23
18-29,Medium,Divorced,Spain,74.21,11.85,152.48,27.6,9.54,20.83,296.52,2.08
18-29,Medium,Divorced,USA,147.36,1.79,276.71,14.07,8.29,51.21,499.43,7.14
18-29,Medium,Married,Australia,197.64,2.39,226.45,51.85,12.09,22.09,512.52,12.12
18-29,Medium,Married,Canada,138.38,5.22,125.72,15.91,10.52,15.31,311.05,6.25
18-29,Medium,Married,Germany,234.69,24.75,145.06,64.88,6.31,17.69,493.38,6.25
18-29,Medium,Married,India,151.13,9.26,221.52,25.52,7.29,33.35,448.06,22.58
18-29,Medium,Married,Mexico,122.79,13.47,226.68,26.05,10.79,20.05,419.84,0.0
18-29,Medium,Married,Saudi Arabia,129.25,8.59,188.94,35.54,6.09,28.51,396.91,8.7
18-29,Medium,Married,Spain,86.01,3.94,123.81,25.99,8.55,17.83,266.12,5.91
18-29,Medium,Married,USA,179.19,2.08,87.03,24.59,8.97,19.08,320.95,8.11
18-29,Medium,Single,Australia,207.8,3.96,222.04,37.33,19.22,31.02,521.37,21.74
18-29,Medium,Single,Canada,148.73,6.18,217.39,21.02,8.51,21.63,423.47,6.12
18-29,Medium,Single,Germany,82.95,8.86,204.82,33.07,5.16,35.18,370.05,9.09
18-29,Medium,Single,India,149.15,6.97,297.09,29.12,9.35,25.85,517.53,17.65
18-29,Medium,Single,Mexico,168.6,0.0,84.6,31.0,5.2,28.8,318.2,20.0
18-29,Medium,Single,Saudi Arabia,142.82,3.82,135.13,26.91,4.27,22.55,335.5,14.29
18-29,Medium,Single,Spain,172.84,5.16,203.12,38.5,11.71,26.81,458.14,13.6
18-29,Medium,Single,USA,129.54,7.77,231.08,36.15,5.62,34.0,444.15,15.38
18-29,Medium,Together,Australia,159.61,3.22,188.09,27.61,11.59,26.26,416.37,4.35
18-29,Medium,Together,Canada,133.57,7.02,161.34,39.53,9.7,21.99,373.16,6.08
18-29,Medium,Together,Germany,214.25,12.04,299.14,11.18,11.25,50.82,598.68,7.14
18-29,Medium,Together,India,86.86,9.05,238.81,40.37,9.42,19.6,404.12,13.95
18-29,Medium,Together,Mexico,280.85,4.85,368.85,51.85,9.15,39.92,755.46,7.69
18-29,Medium,Together,Saudi Arabia,147.15,9.31,199.07,30.83,5.3,21.4,413.05,7.41
18-29,Medium,Together,Spain,161.77,5.18,139.38,36.42,7.96,22.05,372.76,12.28
18-29,Medium,Together,USA,158.09,8.86,180.7,25.66,19.64,35.05,428.0,12.5
18-29,Medium,Widow,Australia,326.0,69.0,745.0,42.0,14.0,35.0,1231.0,0.0
18-29,Medium,Widow,Canada,87.84,5.04,107.4,20.04,4.12,15.36,239.8,0.0
18-29,Medium,Widow,Germany,0.0,24.5,511.5,123.0,3.5,7.5,670.0,0.0
18-29,Medium,Widow,India,134.45,0.82,260.0,12.0,3.36,25.18,435.82,0.0
18-29,Medium,Widow,Saudi Arabia,184.61,9.33,221.69,29.67,6.44,45.47,497.22,19.44
18-29,Medium,Widow,Spain,115.4,10.74,125.05,32.12,22.23,22.88,328.42,11.63
18-29,Medium,Widow,USA,276.67,5.67,385.67,41.0,43.33,18.33,770.67,33.33
18-29,Medium,YOLO,Australia,0.0,0.0,37.0,83.0,0.0,14.0,134.0,0.0
18-29,Medium,YOLO,Canada,65.0,0.0,65.0,2.5,2.0,1.5,136.0,0.0
18-29,Medium,YOLO,India,1.0,0.0,400.5,3.25,0.5,14.25,419.5,0.0
18-29,Medium,YOLO,Mexico,0.0,0.0,380.0,12.0,1.0,47.0,440.0,0.0
18-29,Medium,YOLO,Saudi Arabia,222.67,0.0,89.33,6.0,0.33,28.33,346.67,0.0
18-29,Medium,YOLO,Spain,34.6,3.6,300.2,51.2,12.8,50.2,452.6,40.0
18-29,Medium,YOLO,USA,169.0,0.0,321.0,8.5,39.0,0.0,537.5,0.0
18-29,Upper-Mid,Absurd,Germany,733.0,0.0,693.0,154.0,8.0,11.0,1599.0,100.0
18-29,Upper-Mid,Absurd,India,466.5,0.0,591.0,71.0,52.0,95.5,1276.0,0.0
18-29,Upper-Mid,Absurd,Saudi Arabia,501.0,81.0,840.0,257.0,63.0,1.0,1743.0,0.0
18-29,Upper-Mid,Absurd,Spain,271.56,32.67,462.0,45.11,14.44,38.78,864.56,33.33
18-29,Upper-Mid,Absurd,USA,14.0,0.0,41.0,118.0,2.0,89.0,264.0,0.0
18-29,Upper-Mid,Alone,Australia,172.0,93.0,65.0,13.0,16.0,26.0,385.0,0.0
18-29,Upper-Mid,Alone,Canada,173.0,0.0,105.0,23.5,0.0,5.0,306.5,0.0
18-29,Upper-Mid,Alone,India,274.0,0.0,882.0,10.0,0.0,42.0,1208.0,0.0
18-29,Upper-Mid,Alone,Mexico,201.0,34.0,34.0,31.0,7.0,39.0,346.0,0.0
18-29,Upper-Mid,Alone,Saudi Arabia,481.67,30.0,148.33,75.33,29.67,28.67,793.67,33.33
18-29,Upper-Mid,Alone,Spain,0.0,25.0,100.4,27.4,21.0,27.0,200.8,40.0
18-29,Upper-Mid,Alone,USA,241.0,45.0,336.0,143.0,179.0,38.0,982.0,0.0
18-29,Upper-Mid,Divorced,Australia,260.8,4.0,226.4,47.6,5.4,65.0,609.2,0.0
18-29,Upper-Mid,Divorced,Canada,108.57,24.89,216.21,49.29,30.79,26.89,456.64,10.71
18-29,Upper-Mid,Divorced,Germany,103.1,17.7,295.4,58.2,9.8,33.6,517.8,20.0
18-29,Upper-Mid,Divorced,India,357.48,24.19,305.76,76.0,26.43,45.57,835.43,4.76
18-29,Upper-Mid,Divorced,Saudi Arabia,192.42,24.42,252.62,37.77,19.54,25.35,552.12,11.54
18-29,Upper-Mid,Divorced,Spain,208.14,7.68,163.36,26.82,8.59,29.09,443.68,13.64
18-29,Upper-Mid,Divorced,USA,126.5,7.7,195.8,34.7,49.5,23.2,437.4,30.0
18-29,Upper-Mid,Married,Australia,359.82,9.82,275.53,32.24,14.65,41.53,733.59,11.76
18-29,Upper-Mid,Married,Canada,276.44,22.05,233.44,45.95,19.92,22.18,619.97,5.13
18-29,Upper-Mid,Married,Germany,213.5,8.4,453.2,47.5,8.5,21.1,752.2,0.0
18-29,Upper-Mid,Married,India,201.67,14.83,169.75,51.67,25.67,27.83,491.42,16.67
18-29,Upper-Mid,Married,Mexico,282.0,2.0,609.0,105.0,97.5,17.5,1113.0,50.0
18-29,Upper-Mid,Married,Saudi Arabia,138.06,19.19,236.13,29.34,9.72,24.16,456.59,15.63
18-29,Upper-Mid,Married,Spain,130.69,8.47,239.76,33.97,12.1,31.93,456.92,13.19
18-29,Upper-Mid,Married,USA,171.24,18.53,303.71,62.47,9.06,31.88,596.88,5.88
18-29,Upper-Mid,Single,Australia,357.71,13.9,335.24,49.43,24.19,40.33,820.81,14.29
18-29,Upper-Mid,Single,Canada,239.67,6.52,374.0,50.71,16.14,47.67,734.71,0.0
18-29,Upper-Mid,Single,Germany,258.93,18.59,222.22,57.22,13.89,20.59,591.44,18.52
18-29,Upper-Mid,Single,India,201.17,13.22,275.39,52.22,8.94,36.67,587.61,11.11
18-29,Upper-Mid,Single,Mexico,54.0,0.0,33.5,8.5,8.0,25.0,129.0,50.0
18-29,Upper-Mid,Single,Saudi Arabia,261.52,23.48,356.4,46.72,12.68,36.52,737.32,0.0
18-29,Upper-Mid,Single,Spain,240.62,11.12,306.95,42.28,24.05,46.1,671.12,20.0
18-29,Upper-Mid,Single,USA,255.83,0.83,105.33,4.33,8.5,13.5,388.33,16.67
18-29,Upper-Mid,Together,Australia,275.85,13.96,282.63,34.26,20.15,40.85,667.7,22.22
18-29,Upper-Mid,Together,Canada,226.22,11.96,251.09,49.78,16.4,28.59,584.05,11.76
18-29,Upper-Mid,Together,Germany,420.72,15.56,356.83,78.11,52.94,28.0,952.17,22.22
18-29,Upper-Mid,Together,India,298.11,10.0,253.21,70.21,27.68,37.37,696.58,5.26
18-29,Upper-Mid,Together,Mexico,39.71,10.14,473.71,40.43,7.43,53.57,625.0,0.0
18-29,Upper-Mid,Together,Saudi Arabia,136.0,7.36,168.67,36.83,12.81,26.45,388.12,9.52
18-29,Upper-Mid,Together,Spain,330.69,10.26,259.62,55.48,18.95,31.84,706.84,8.62
18-29,Upper-Mid,Together,USA,247.78,11.44,210.78,26.85,11.48,44.93,553.26,14.81
18-29,Upper-Mid,Widow,Australia,0.0,0.0,296.0,2.0,0.0,6.0,304.0,0.0
18-29,Upper-Mid,Widow,Canada,365.86,4.07,237.71,68.5,17.43,48.64,742.21,21.43
18-29,Upper-Mid,Widow,Germany,406.0,0.0,221.0,10.0,12.0,112.0,761.0,100.0
18-29,Upper-Mid,Widow,India,395.5,7.67,275.67,71.17,50.17,15.33,815.5,16.67
18-29,Upper-Mid,Widow,Saudi Arabia,205.58,12.63,185.08,52.25,16.58,37.83,509.96,12.5
18-29,Upper-Mid,Widow,Spain,180.81,8.85,178.73,86.69,22.65,35.12,512.85,11.54
18-29,Upper-Mid,YOLO,Australia,0.0,0.0,649.0,198.0,0.0,12.0,859.0,100.0
18-29,Upper-Mid,YOLO,Canada,535.0,7.0,623.0,62.5,2.0,42.0,1271.5,50.0
18-29,Upper-Mid,YOLO,Germany,538.5,15.0,254.5,5.5,17.0,26.5,857.0,50.0
18-29,Upper-Mid,YOLO,India,0.0,0.0,903.0,0.0,0.0,5.0,908.0,0.0
18-29,Upper-Mid,YOLO,Saudi Arabia,21.0,37.5,260.0,22.0,0.0,6.0,346.5,0.0
18-29,Upper-Mid,YOLO,Spain,0.0,0.0,49.0,134.0,31.0,75.0,289.0,0.0
18-29,Upper-Mid,YOLO,USA,307.0,0.0,840.5,161.0,2.0,51.5,1362.0,0.0
18-29,Very High,Absurd,Australia,249.0,10.5,359.5,84.5,9.5,32.5,745.5,0.0
18-29,Very High,Absurd,Germany,597.5,19.0,164.0,73.0,24.0,30.5,908.0,0.0
18-29,Very High,Absurd,India,230.0,0.0,954.0,93.0,51.0,72.0,1400.0,0.0
18-29,Very High,Absurd,Mexico,0.0,6.0,144.0,238.0,26.0,23.0,437.0,0.0
18-29,Very High,Absurd,Saudi Arabia,585.0,20.0,991.0,259.0,94.0,28.0,1977.0,0.0
18-29,Very High,Absurd,Spain,600.4,31.4,577.8,116.8,14.8,25.6,1366.8,40.0
18-29,Very High,Alone,Australia,713.0,9.0,195.0,50.0,74.0,18.0,1059.0,100.0
18-29,Very High,Alone,Canada,17.5,5.5,183.0,57.0,1.0,32.5,296.5,50.0
18-29,Very High,Alone,India,313.0,114.0,69.0,259.0,0.0,12.0,767.0,0.0
18-29,Very High,Alone,Saudi Arabia,310.83,3.0,308.17,67.5,17.0,38.0,744.5,16.67
18-29,Very High,Alone,Spain,388.86,8.86,236.14,75.71,24.57,73.71,807.86,28.57
18-29,Very High,Divorced,Australia,476.4,53.6,494.4,140.9,37.5,55.1,1257.9,20.0
18-29,Very High,Divorced,Canada,383.82,20.65,376.82,99.47,23.0,31.0,934.76,23.53
18-29,Very High,Divorced,Germany,431.9,17.5,176.6,64.2,32.6,32.6,755.4,10.0
18-29,Very High,Divorced,India,417.93,30.2,636.6,147.07,56.13,79.53,1367.47,40.0
18-29,Very High,Divorced,Mexico,1085.0,2.0,433.0,76.0,0.0,76.0,1672.0,0.0
18-29,Very High,Divorced,Saudi Arabia,424.25,30.79,359.54,91.13,30.75,51.13,987.58,16.67
18-29,Very High,Divorced,Spain,427.52,27.11,405.96,96.89,33.93,60.37,1051.78,25.93
18-29,Very High,Divorced,USA,577.0,31.67,502.56,106.22,26.56,51.11,1295.11,22.22
18-29,Very High,Married,Australia,400.22,23.22,515.89,69.11,24.78,60.44,1093.67,44.44
18-29,Very High,Married,Canada,273.59,19.06,544.71,76.59,32.88,64.59,1011.41,11.76
18-29,Very High,Married,Germany,712.38,24.0,262.13,67.38,50.13,42.38,1158.38,25.0
18-29,Very High,Married,India,436.14,29.64,375.86,44.71,42.07,65.14,993.57,14.29
18-29,Very High,Married,Mexico,516.0,84.0,85.5,101.5,16.0,57.0,860.0,0.0
18-29,Very High,Married,Saudi Arabia,420.38,27.04,409.58,84.54,37.54,60.58,1039.65,19.23
18-29,Very High,Married,Spain,391.23,26.06,416.21,73.89,30.21,53.62,991.21,16.98
18-29,Very High,Married,USA,714.0,21.5,567.0,137.0,43.5,52.5,1535.5,100.0
18-29,Very High,Single,Australia,625.52,17.32,481.36,80.44,49.6,69.12,1323.36,36.0
18-29,Very High,Single,Canada,428.46,25.46,599.15,66.15,21.46,35.15,1175.85,15.38
18-29,Very High,Single,Germany,406.77,26.46,379.46,67.31,43.54,44.38,967.92,23.08
18-29,Very High,Single,India,297.33,41.83,441.67,100.75,47.08,92.75,1021.42,16.67
18-29,Very High,Single,Mexico,708.5,59.5,520.25,79.25,22.5,59.25,1449.25,50.0
18-29,Very High,Single,Saudi Arabia,396.76,31.28,510.41,93.66,48.03,46.38,1126.52,17.24
18-29,Very High,Single,Spain,442.47,21.53,344.73,105.37,29.27,51.17,994.53,46.67
18-29,Very High,Single,USA,80.0,4.0,215.0,30.0,16.0,6.0,351.0,100.0
18-29,Very High,Together,Australia,526.75,35.8,403.6,65.45,51.45,51.75,1134.8,25.0
18-29,Very High,Together,Canada,470.68,31.8,417.66,84.8,32.1,48.93,1085.98,14.63
18-29,Very High,Together,Germany,545.31,29.46,333.92,119.69,50.46,48.08,1126.92,7.69
18-29,Very High,Together,India,327.31,45.92,509.92,92.46,66.38,68.15,1110.15,15.38
18-29,Very High,Together,Mexico,449.63,11.13,638.88,96.75,33.75,63.63,1293.75,25.0
18-29,Very High,Together,Saudi Arabia,523.2,39.28,344.26,73.92,33.96,62.82,1077.44,28.0
18-29,Very High,Together,Spain,507.51,23.74,382.04,87.07,38.88,45.26,1084.49,19.3
18-29,Very High,Together,USA,528.48,31.48,403.52,109.92,55.12,34.56,1163.08,24.0
18-29,Very High,Widow,Australia,285.0,56.0,478.2,40.6,40.0,43.4,943.2,0.0
18-29,Very High,Widow,Canada,528.25,17.75,453.75,70.75,52.25,31.75,1154.5,50.0
18-29,Very High,Widow,Germany,515.25,47.0,758.5,77.75,40.5,98.0,1537.0,0.0
18-29,Very High,Widow,India,302.14,47.14,306.71,122.43,56.57,98.71,933.71,71.43
18-29,Very High,Widow,Mexico,883.0,0.0,1032.0,259.0,135.0,1.0,2310.0,0.0
18-29,Very High,Widow,Saudi Arabia,408.33,29.21,336.81,103.67,32.63,55.14,965.79,32.56
18-29,Very High,Widow,Spain,610.88,41.65,545.65,84.18,56.59,36.18,1375.12,17.65
18-29,Very High,Widow,USA,765.33,29.67,672.0,167.67,32.67,111.33,1778.67,0.0
18-29,Very High,YOLO,Canada,520.67,29.67,122.0,46.0,4.0,21.67,744.0,33.33
18-29,Very High,YOLO,Germany,723.33,24.67,548.0,125.33,56.67,19.33,1497.33,100.0
18-29,Very High,YOLO,India,26.0,1.0,216.0,47.0,61.0,77.0,428.0,100.0
18-29,Very High,YOLO,Saudi Arabia,453.0,2.0,299.0,61.5,67.0,1.5,884.0,50.0
